"National land use area by class, 2010–11, 2015–16, and 2020–21",,,
Land use classes,2010–11 (million hectares),2015–16 (million hectares),2020–21 (million hectares)
Nature conservation,64.7,72,72.2
Managed resource protection,124.5,135.2,149.3
Other minimal use,124.5,103.4,82.9
Grazing native vegetation,333.6,332.4,335.2
Production native forests,7.8,7.8,8.6
Grazing modified pastures,45.8,45.3,47.8
Dryland cropping,32.2,35.7,35.9
Water,26.8,26.7,26.7
Other land use*,9.7,11.2,11.0
,,,
 *Includes all other land use classes.,,,
,,,
"Source: Australian Bureau of Statistics, National Land Account, Experimental Estimates 2021",,,
