Species,World described/accepted,Australia described/accepted,Australia percentage,Estimate world,Estimate australia,World threatened,World threatened percentage,Australia threatened,Australia threatened percentage,Percentage of world’s threatened,Percentage Endemic
Mammals ,5 487,386,7,~5 500,~390,1 141,20.8%,78,20.2%,6.8%,87%
Birds ,9 990,828,8.3,>10 000,~900,1 222,12.2%,50,6.0%,4.1%,45%
Reptiles ,8 734,917,10.5,~10 000,~950,423,4.8%,46,5.0%,10.9%,93%
Amphibia ,6 515,227,3.5,~15 000,~230,1 905,29.2%,31,13.7%,1.6%,94%
Fishes,31 153,5 000,16,~40 000,~5 750,1 275,4.1%,41,0.8%,3.2%,24%
Agnatha ,116,5,4.3,unknown,~10,0,0%,0,0%,–,60%
Cephalochordata,33,8,24.2,unknown,~8,0,0%,0,0%,–,50%
Tunicata,2 760,757,27.4,unknown,~850,0,–,0,–,–,50%
Total (2005),60 979,7 561,12.4,~71 000,~8 444,5 188,8.5%,247,3.3%,4.8%,39%
Total (2009),64 788,8 128,12.5,~80 500,~9 088,5 966,9.2%,246,3.0%,4.1%,41.3%
