ID,Binomial,SpNo,TaxonID,CommonName,Class,Order,Family,FamilyCommonName,Genus,Species,Subspecies,FunctionalGroup,TaxonomicGroup,EPBCStatus,IUCNStatus,BirdActionPlanStatus,MaxStatus,State,Region,RegionCentroidLatitude,RegionCentroidLongitude,RegionCentroidAccuracy,SiteID,SourceID,SourceDesc,MonitoringProgram,UnitID,Unit,SearchTypeID,SearchTypeDesc,ResponseVariableType,DataType,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,TimeSeriesLength,TimeSeriesSampleYears,TimeSeriesCompleteness,TimeSeriesSamplingEvenness,AbsencesRecorded,StandardisationOfMethodEffort,ObjectiveOfMonitoring,SpatialRepresentativeness,ConsistencyOfMonitoring,Management,ManagementCategory,ManagementCategoryComments,SuppressAggregatedData,SurveyCount,TimeSeriesID,NationalPriorityTaxa,Citation
27,Charadrius_mongolus,139,139,Lesser Sand Plover,Aves,Charadriiformes,,"Plovers, dotterel and lapwings",Charadrius,mongolus,,Shoreline (migratory),Birds,Endangered,Endangered,,Endangered,Victoria,Victorian Volcanic Plain,-37.84704817,143.2517563,92763.0,266675,363,AUS-Shorebirds-BLA,AUS-BirdLifeAustralia-QueenslandWaderStudyGroup,2,Sample: abundance (counts),4,Shorebird count area survey,Average count,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,40,38,0.95,0.0,,,,,,No known management,Unknown,,0,38,363_2_4_266675_139,0,"BLA (2025). Shorebird monitoring data collated and curated by BirdLife Australia, Melbourne. BirdLife Australia. Aggregated for the Australian Threatened Species Index, an output of the NESP Threatened Species Recovery Hub and operated by the Terrestrial Ecosystem Research Network, The University of Queensland."
32,Charadrius_mongolus,139,139,Lesser Sand Plover,Aves,Charadriiformes,,"Plovers, dotterel and lapwings",Charadrius,mongolus,,Shoreline (migratory),Birds,Endangered,Endangered,,Endangered,Victoria,Gippsland Plain,-38.38643205,146.2603928,90442.0,266694,363,AUS-Shorebirds-BLA,AUS-BirdLifeAustralia-QueenslandWaderStudyGroup,2,Sample: abundance (counts),4,Shorebird count area survey,Average count,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,32,20,0.625,0.666666667,,,,,,No known management,Unknown,,0,20,363_2_4_266694_139,0,"BLA (2025). Shorebird monitoring data collated and curated by BirdLife Australia, Melbourne. BirdLife Australia. Aggregated for the Australian Threatened Species Index, an output of the NESP Threatened Species Recovery Hub and operated by the Terrestrial Ecosystem Research Network, The University of Queensland."
41,Charadrius_mongolus,139,139,Lesser Sand Plover,Aves,Charadriiformes,,"Plovers, dotterel and lapwings",Charadrius,mongolus,,Shoreline (migratory),Birds,Endangered,Endangered,,Endangered,Victoria,Victorian Volcanic Plain,-37.84704817,143.2517563,92763.0,266737,363,AUS-Shorebirds-BLA,AUS-BirdLifeAustralia-QueenslandWaderStudyGroup,2,Sample: abundance (counts),4,Shorebird count area survey,Average count,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,,0.0,,0.0,0.0,,41,32,0.78,2.56,,,,,,No known management,Unknown,,0,32,363_2_4_266737_139,0,"BLA (2025). Shorebird monitoring data collated and curated by BirdLife Australia, Melbourne. BirdLife Australia. Aggregated for the Australian Threatened Species Index, an output of the NESP Threatened Species Recovery Hub and operated by the Terrestrial Ecosystem Research Network, The University of Queensland."
43,Charadrius_mongolus,139,139,Lesser Sand Plover,Aves,Charadriiformes,,"Plovers, dotterel and lapwings",Charadrius,mongolus,,Shoreline (migratory),Birds,Endangered,Endangered,,Endangered,Victoria,Gippsland Plain,-38.38643205,146.2603928,90442.0,266744,363,AUS-Shorebirds-BLA,AUS-BirdLifeAustralia-QueenslandWaderStudyGroup,2,Sample: abundance (counts),4,Shorebird count area survey,Average count,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,4.0,2.0,0.0,0.0,,3.0,,,,,,,,,,,,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,42,20,0.476,13.44,,,,,,No known management,Unknown,,0,20,363_2_4_266744_139,0,"BLA (2025). Shorebird monitoring data collated and curated by BirdLife Australia, Melbourne. BirdLife Australia. Aggregated for the Australian Threatened Species Index, an output of the NESP Threatened Species Recovery Hub and operated by the Terrestrial Ecosystem Research Network, The University of Queensland."
45,Charadrius_mongolus,139,139,Lesser Sand Plover,Aves,Charadriiformes,,"Plovers, dotterel and lapwings",Charadrius,mongolus,,Shoreline (migratory),Birds,Endangered,Endangered,,Endangered,Victoria,Gippsland Plain,-38.38643205,146.2603928,90442.0,266753,363,AUS-Shorebirds-BLA,AUS-BirdLifeAustralia-QueenslandWaderStudyGroup,2,Sample: abundance (counts),4,Shorebird count area survey,Average count,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,120.0,0.0,0.0,0.0,55.0,12.0,27.0,15.0,15.0,0.0,205.0,0.0,,0.0,0.0,0.0,0.0,40.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,42,35,0.833,0.64,,,,,,No known management,Unknown,,0,35,363_2_4_266753_139,0,"BLA (2025). Shorebird monitoring data collated and curated by BirdLife Australia, Melbourne. BirdLife Australia. Aggregated for the Australian Threatened Species Index, an output of the NESP Threatened Species Recovery Hub and operated by the Terrestrial Ecosystem Research Network, The University of Queensland."
46,Charadrius_mongolus,139,139,Lesser Sand Plover,Aves,Charadriiformes,,"Plovers, dotterel and lapwings",Charadrius,mongolus,,Shoreline (migratory),Birds,Endangered,Endangered,,Endangered,Victoria,Otway Plain,-38.32100885,144.2402249,31809.0,266755,363,AUS-Shorebirds-BLA,AUS-BirdLifeAustralia-QueenslandWaderStudyGroup,2,Sample: abundance (counts),4,Shorebird count area survey,Average count,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,40,34,0.85,0.16,,,,,,No known management,Unknown,,0,34,363_2_4_266755_139,0,"BLA (2025). Shorebird monitoring data collated and curated by BirdLife Australia, Melbourne. BirdLife Australia. Aggregated for the Australian Threatened Species Index, an output of the NESP Threatened Species Recovery Hub and operated by the Terrestrial Ecosystem Research Network, The University of Queensland."
49,Charadrius_mongolus,139,139,Lesser Sand Plover,Aves,Charadriiformes,,"Plovers, dotterel and lapwings",Charadrius,mongolus,,Shoreline (migratory),Birds,Endangered,Endangered,,Endangered,Victoria,Gippsland Plain,-38.38643205,146.2603928,90442.0,266772,363,AUS-Shorebirds-BLA,AUS-BirdLifeAustralia-QueenslandWaderStudyGroup,2,Sample: abundance (counts),4,Shorebird count area survey,Average count,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,30,30,1.0,0.0,,,,,,No known management,Unknown,,0,30,363_2_4_266772_139,0,"BLA (2025). Shorebird monitoring data collated and curated by BirdLife Australia, Melbourne. BirdLife Australia. Aggregated for the Australian Threatened Species Index, an output of the NESP Threatened Species Recovery Hub and operated by the Terrestrial Ecosystem Research Network, The University of Queensland."
62,Charadrius_mongolus,139,139,Lesser Sand Plover,Aves,Charadriiformes,,"Plovers, dotterel and lapwings",Charadrius,mongolus,,Shoreline (migratory),Birds,Endangered,Endangered,,Endangered,Victoria,Victorian Volcanic Plain,-37.84704817,143.2517563,92763.0,266811,363,AUS-Shorebirds-BLA,AUS-BirdLifeAustralia-QueenslandWaderStudyGroup,2,Sample: abundance (counts),4,Shorebird count area survey,Average count,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,56.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,41,37,0.902,0.222222222,,,,,,No known management,Unknown,,0,37,363_2_4_266811_139,0,"BLA (2025). Shorebird monitoring data collated and curated by BirdLife Australia, Melbourne. BirdLife Australia. Aggregated for the Australian Threatened Species Index, an output of the NESP Threatened Species Recovery Hub and operated by the Terrestrial Ecosystem Research Network, The University of Queensland."
66,Charadrius_mongolus,139,139,Lesser Sand Plover,Aves,Charadriiformes,,"Plovers, dotterel and lapwings",Charadrius,mongolus,,Shoreline (migratory),Birds,Endangered,Endangered,,Endangered,Victoria,Gippsland Plain,-38.38643205,146.2603928,90442.0,266818,363,AUS-Shorebirds-BLA,AUS-BirdLifeAustralia-QueenslandWaderStudyGroup,2,Sample: abundance (counts),4,Shorebird count area survey,Average count,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,42,38,0.905,0.222222222,,,,,,No known management,Unknown,,0,38,363_2_4_266818_139,0,"BLA (2025). Shorebird monitoring data collated and curated by BirdLife Australia, Melbourne. BirdLife Australia. Aggregated for the Australian Threatened Species Index, an output of the NESP Threatened Species Recovery Hub and operated by the Terrestrial Ecosystem Research Network, The University of Queensland."
77,Charadrius_mongolus,139,139,Lesser Sand Plover,Aves,Charadriiformes,,"Plovers, dotterel and lapwings",Charadrius,mongolus,,Shoreline (migratory),Birds,Endangered,Endangered,,Endangered,Victoria,Gippsland Plain,-38.38643205,146.2603928,90442.0,266903,363,AUS-Shorebirds-BLA,AUS-BirdLifeAustralia-QueenslandWaderStudyGroup,2,Sample: abundance (counts),4,Shorebird count area survey,Average count,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,20.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,29,22,0.759,3.555555556,,,,,,No known management,Unknown,,0,22,363_2_4_266903_139,0,"BLA (2025). Shorebird monitoring data collated and curated by BirdLife Australia, Melbourne. BirdLife Australia. Aggregated for the Australian Threatened Species Index, an output of the NESP Threatened Species Recovery Hub and operated by the Terrestrial Ecosystem Research Network, The University of Queensland."
