dataResourceUid,dataResourceName,images,dcterms:modified,dcterms:language,dcterms:license,rightsHolder,dcterms:accessRights,dcterms:bibliographicCitation,references,institutionID,collectionID,datasetID,institutionCode,collectionCode,datasetName,ownerInstitutionCode,basisOfRecord,informationWithheld,dataGeneralizations,dynamicProperties,occurrenceID,catalogNumber,recordNumber,recordedBy,individualCount,organismQuantity,organismQuantityType,sex,lifeStage,reproductiveCondition,behavior,establishmentMeans,occurrenceStatus,preparations,disposition,associatedMedia,associatedReferences,associatedTaxa,otherCatalogNumbers,occurrenceRemarks,organismID,organismName,associatedOccurrences,previousIdentifications,organismRemarks,materialSampleID,eventID,parentEventID,fieldNumber,eventDate,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,samplingProtocol,samplingEffort,sampleSizeValue,sampleSizeUnit,fieldNotes,eventRemarks,locationID,higherGeographyID,continent,waterBody,islandGroup,island,country,countryCode,stateProvince,county,municipality,locality,verbatimLocality,minimumElevationInMeters,maximumElevationInMeters,verbatimElevation,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,minimumDistanceAboveSurfaceInMeters,maximumDistanceAboveSurfaceInMeters,locationAccordingTo,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,coordinatePrecision,verbatimCoordinates,verbatimLatitude,verbatimLongitude,verbatimCoordinateSystem,verbatimSRS,footprintWKT,footprintSRS,georeferencedDate,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,geologicalContextID,earliestEonOrLowestEonothem,latestEonOrHighestEonothem,earliestEraOrLowestErathem,latestEraOrHighestErathem,earliestPeriodOrLowestSystem,latestPeriodOrHighestSystem,earliestEpochOrLowestSeries,latestEpochOrHighestSeries,earliestAgeOrLowestStage,latestAgeOrHighestStage,lowestBiostratigraphicZone,highestBiostratigraphicZone,lithostratigraphicTerms,group,formation,member,bed,identificationID,identificationQualifier,typeStatus,identifiedBy,dateIdentified,identificationReferences,identificationVerificationStatus,identificationRemarks,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,raw_scientificName,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,class,order,family,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,verbatimTaxonRank,scientificNameAuthorship,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,measurementDeterminedDate,recordedByID,identifiedByID,videos,species,subfamily,eventType,measurementRemarks,measurementValue,relationshipRemarks,superfamily,relationshipOfResource,measurementMethod,identifier,provenance,sounds,recordID,rights,source,measurementID,measurementType,measurementUnit,measurementDeterminedBy,measurementAccuracy,degreeOfEstablishment,relatedResourceID,images,dcterms:type
dr1097,Victorian Biodiversity Atlas,,2022-10-24,,CC-BY 4.0 (Int),,,,,,,c83ee307-f721-5958-a610-b38b730fbe7a,,,Victorian Biodiversity Atlas flora records (unrestricted) for sites with high spatial accuracy,,HUMAN_OBSERVATION,,,,4346720,4346720,,Members Mammal Survey Group of Victoria,4,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,1974-12-01T00:00:00Z,,335,335,1974,12,1,,,General observations,,,,,,534656,,,,,,Australia,AU,Victoria,,,Just n of mountain research stn,,930.0,930.0,,,,,,,,,-37.55716,145.88663,EPSG:4326,1800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://biodiversity.org.au/afd/taxa/d051536b-5b94-4317-a2b0-344a2ef25616,Gymnobelideus leadbeateri,Gymnobelideus leadbeateri,,,,,,,,Animalia,Chordata,Mammalia,Diprotodontia,Petauridae,Gymnobelideus,,,,species,,"McCoy, 1867",Leadbeater's Possum,,,,,,,,,Gymnobelideus leadbeateri,,,,,,,,,,,,1fa5a230-afd0-4cd3-8908-cd9f1606fc0b,,,,,,,,,,,Event
dr1097,Victorian Biodiversity Atlas,,2022-10-24,,CC-BY 4.0 (Int),,,,,,,84b924b3-e115-58d9-b707-2920143051f7,,,Victorian Biodiversity Atlas fauna records (unrestricted) for sites with high spatial accuracy,,HUMAN_OBSERVATION,,,,8207149,8207149,,Jenny Nelson,1,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,2016-03-22T00:00:00Z,,82,82,2016,3,22,,,Camera - Surveillance/Remote,,,,,,827494,,,,,,Australia,AU,Victoria,,,"FN2_camera1 Federation Rd, 12.4km N of Cambarville",,,,,,,,,,,,-37.45241,145.93878,EPSG:4326,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://biodiversity.org.au/afd/taxa/d051536b-5b94-4317-a2b0-344a2ef25616,Gymnobelideus leadbeateri,Gymnobelideus leadbeateri,,,,,,,,Animalia,Chordata,Mammalia,Diprotodontia,Petauridae,Gymnobelideus,,,,species,,"McCoy, 1867",Leadbeater's Possum,,,,,,,,,Gymnobelideus leadbeateri,,,,,,,,,,,,43ffa043-d7ff-4af1-b09a-75338d21ed03,,,,,,,,,,,Event
dr1097,Victorian Biodiversity Atlas,,2022-10-24,,CC-BY 4.0 (Int),,,,,,,c83ee307-f721-5958-a610-b38b730fbe7a,,,Victorian Biodiversity Atlas flora records (unrestricted) for sites with high spatial accuracy,,HUMAN_OBSERVATION,,,,4352754,4352754,,Andrew Smith,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,1985-01-01T00:00:00Z,,1,1,1985,1,1,,,General observations,,,,,,534788,,,,,,Australia,AU,Victoria,,,ROUGHLY 4 KM S OF ANDREW SPUR,,1000.0,1000.0,,,,,,,,,-37.38877,145.81118,EPSG:4326,1800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://biodiversity.org.au/afd/taxa/d051536b-5b94-4317-a2b0-344a2ef25616,Gymnobelideus leadbeateri,Gymnobelideus leadbeateri,,,,,,,,Animalia,Chordata,Mammalia,Diprotodontia,Petauridae,Gymnobelideus,,,,species,,"McCoy, 1867",Leadbeater's Possum,,,,,,,,,Gymnobelideus leadbeateri,,,,,,,,,,,,3d7ca07e-1ea9-469b-bb01-01bbbe67da69,,,,,,,,,,,Event
dr1097,Victorian Biodiversity Atlas,,2022-10-24,,CC-BY 4.0 (Int),,,,,,,84b924b3-e115-58d9-b707-2920143051f7,,,Victorian Biodiversity Atlas fauna records (unrestricted) for sites with high spatial accuracy,,HUMAN_OBSERVATION,,,,10451271,10451271,,Emma-Kate Campbell,1,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,2020-05-26T00:00:00Z,,147,147,2020,5,26,,,Camera - Surveillance/Remote,,,,,,1330641,,,,,,Australia,AU,Victoria,,,"348-531-0003 Romans Creek Track, Powelltown",,,,,,,,,,,,-37.86948,145.85958,EPSG:4326,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://biodiversity.org.au/afd/taxa/d051536b-5b94-4317-a2b0-344a2ef25616,Gymnobelideus leadbeateri,Gymnobelideus leadbeateri,,,,,,,,Animalia,Chordata,Mammalia,Diprotodontia,Petauridae,Gymnobelideus,,,,species,,"McCoy, 1867",Leadbeater's Possum,,,,,,,,,Gymnobelideus leadbeateri,,,,,,,,,,,,60565030-8c66-4806-96b2-4772f4912077,,,,,,,,,,,Event
dr1097,Victorian Biodiversity Atlas,,2022-10-24,,CC-BY 4.0 (Int),,,,,,,c83ee307-f721-5958-a610-b38b730fbe7a,,,Victorian Biodiversity Atlas flora records (unrestricted) for sites with high spatial accuracy,,HUMAN_OBSERVATION,,,,4339801,4339801,,Staff Others (non departmental),1,,,,,,,,PRESENT,,,,,,,,,,f827c719-9a67-4a25-93e0-28ffc3fc63c7,,,,,,,1985-03-21T00:00:00Z,,80,80,1985,3,21,,,General observations,,,,,,529570,,,,,,Australia,AU,Victoria,,,Rubicon dam,,1120.0,1120.0,,,,,,,,,-37.40682,145.84297,EPSG:4326,900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://biodiversity.org.au/afd/taxa/d051536b-5b94-4317-a2b0-344a2ef25616,Gymnobelideus leadbeateri,Gymnobelideus leadbeateri,,,,,,,,Animalia,Chordata,Mammalia,Diprotodontia,Petauridae,Gymnobelideus,,,,species,,"McCoy, 1867",Leadbeater's Possum,,,,,,,,,Gymnobelideus leadbeateri,,,,,,,,,,,,c640d168-2f57-48f4-b626-96bee0bc4afa,,,,,,,,,,,Event
dr1097,Victorian Biodiversity Atlas,,2022-10-24,,CC-BY 4.0 (Int),,,,,,,84b924b3-e115-58d9-b707-2920143051f7,,,Victorian Biodiversity Atlas fauna records (unrestricted) for sites with high spatial accuracy,,HUMAN_OBSERVATION,,,,10183058,10183058,,Susannah Hale,1,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,2019-12-11T00:00:00Z,,345,345,2019,12,11,,,Spotlighting on foot,,,,,,1243609,,,,,,Australia,AU,Victoria,,,"462-505-0041 Skerry Creek Road, Tooroongo",,,,,,,,,,,,-37.77787,145.97375,EPSG:4326,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://biodiversity.org.au/afd/taxa/d051536b-5b94-4317-a2b0-344a2ef25616,Gymnobelideus leadbeateri,Gymnobelideus leadbeateri,,,,,,,,Animalia,Chordata,Mammalia,Diprotodontia,Petauridae,Gymnobelideus,,,,species,,"McCoy, 1867",Leadbeater's Possum,,,,,,,,,Gymnobelideus leadbeateri,,,,,,,,,,,,271e19f0-c9cf-474a-be44-44d417b0162b,,,,,,,,,,,Event
dr1097,Victorian Biodiversity Atlas,,2022-10-24,,CC-BY 4.0 (Int),,,,,,,84b924b3-e115-58d9-b707-2920143051f7,,,Victorian Biodiversity Atlas fauna records (unrestricted) for sites with high spatial accuracy,,HUMAN_OBSERVATION,,,,4063022,4063022,,Ryan Incol,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,1998-12-14T00:00:00Z,,348,348,1998,12,14,,,Timed area stag watch,,,,,,504507,,,,,,Australia,AU,Victoria,,,Rd 5: 700m N of Rd 1,,,,,,,,,,,,-37.62221,145.81087,EPSG:4326,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://biodiversity.org.au/afd/taxa/d051536b-5b94-4317-a2b0-344a2ef25616,Gymnobelideus leadbeateri,Gymnobelideus leadbeateri,,,,,,,,Animalia,Chordata,Mammalia,Diprotodontia,Petauridae,Gymnobelideus,,,,species,,"McCoy, 1867",Leadbeater's Possum,,,,,,,,,Gymnobelideus leadbeateri,,,,,,,,,,,,51e57b8b-8286-4a0e-a3f9-fb9c18185b62,,,,,,,,,,,Event
dr1097,Victorian Biodiversity Atlas,,2022-10-24,,CC-BY 4.0 (Int),,,,,,,84b924b3-e115-58d9-b707-2920143051f7,,,Victorian Biodiversity Atlas fauna records (unrestricted) for sites with high spatial accuracy,,HUMAN_OBSERVATION,,,,10695775,10695775,,Elouise Haskin,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,2020-08-19T00:00:00Z,,232,232,2020,8,19,,,Camera - Surveillance/Remote,,,,,,1336560,,,,,,Australia,AU,Victoria,,,320-502-0033 Oaks Track,,,,,,,,,,,,-37.62318,146.05368,EPSG:4326,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://biodiversity.org.au/afd/taxa/d051536b-5b94-4317-a2b0-344a2ef25616,Gymnobelideus leadbeateri,Gymnobelideus leadbeateri,,,,,,,,Animalia,Chordata,Mammalia,Diprotodontia,Petauridae,Gymnobelideus,,,,species,,"McCoy, 1867",Leadbeater's Possum,,,,,,,,,Gymnobelideus leadbeateri,,,,,,,,,,,,f5ff76f6-99a0-4547-bae6-badfc064860e,,,,,,,,,,,Event
dr1097,Victorian Biodiversity Atlas,,2022-10-24,,CC-BY 4.0 (Int),,,,,,,84b924b3-e115-58d9-b707-2920143051f7,,,Victorian Biodiversity Atlas fauna records (unrestricted) for sites with high spatial accuracy,,HUMAN_OBSERVATION,,,,8436746,8436746,,Contributor Timber Harvesting Unit,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,2016-03-05T00:00:00Z,,65,65,2016,3,5,,,Spotlighting,,,,,,840696,,,,,,Australia,AU,Victoria,,,"DELWP case reference 2016-0025 Big Creek Rd, Near Powelltown",,,,,,,,,,,,-37.80483,145.83726,EPSG:4326,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://biodiversity.org.au/afd/taxa/d051536b-5b94-4317-a2b0-344a2ef25616,Gymnobelideus leadbeateri,Gymnobelideus leadbeateri,,,,,,,,Animalia,Chordata,Mammalia,Diprotodontia,Petauridae,Gymnobelideus,,,,species,,"McCoy, 1867",Leadbeater's Possum,,,,,,,,,Gymnobelideus leadbeateri,,,,,,,,,,,,09963fed-ff17-4954-8059-79445877d0e7,,,,,,,,,,,Event
dr1097,Victorian Biodiversity Atlas,,2022-10-24,,CC-BY 4.0 (Int),,,,,,,84b924b3-e115-58d9-b707-2920143051f7,,,Victorian Biodiversity Atlas fauna records (unrestricted) for sites with high spatial accuracy,,HUMAN_OBSERVATION,,,,8436762,8436762,,Contributor Timber Harvesting Unit,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,2016-08-08T00:00:00Z,,221,221,2016,8,8,,,Spotlighting,,,,,,840712,,,,,,Australia,AU,Victoria,,,"DELWP case reference 2016-0060 288-518-0006 etc, N5 Tk, Rubicon SF",,,,,,,,,,,,-37.39207,145.92723,EPSG:4326,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://biodiversity.org.au/afd/taxa/d051536b-5b94-4317-a2b0-344a2ef25616,Gymnobelideus leadbeateri,Gymnobelideus leadbeateri,,,,,,,,Animalia,Chordata,Mammalia,Diprotodontia,Petauridae,Gymnobelideus,,,,species,,"McCoy, 1867",Leadbeater's Possum,,,,,,,,,Gymnobelideus leadbeateri,,,,,,,,,,,,7da238b3-b063-412a-be47-a0e7f0189b05,,,,,,,,,,,Event
