"Proportion of land and water areas dedicated to the long-term conservation of nature, its ecosystem and cultural values (a)",,
,Terrestrial protected areas (%),Marine protected areas (b) (%)
2004,11,
2006,12,
2008,13,10
2010,13,10
2012,15,36
2014,18,
2016,20,36
2018,20,37
2020,20,37
2022,22,45
2024,23,49
,,
 a. Data was sourced via the Collaborative Australian Protected Areas Database (CAPAD) for each year referenced above.,,
b. Marine Protected Area values for 2004 and 2014 have not been included as they may be over-estimates resulting from areas being classified under more than one protection category. Data for Marine Protected Areas for 2006 was unavailable.,,
,,
" Source: Australian Bureau of Statistics, Protected areas",,
