taxa,kingdom,phylum,class,order,family,genus,species,common_name,identification_notes,data_resource_name,sighting_date,latitude,longitude,location
Bird,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Anas,castanea,Chestnut Teal,,Participate,2014-11-09,-37.8002,144.9361,"-37.8002, 144.9361"
Bird,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,STURNIDAE,Sturnus,tristis,"Common Myna, Indian Myna",Also known as Acridotheres tristis,Participate,2014-11-11,-37.8094,144.9727,"-37.8094, 144.9727"
Bird,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,STURNIDAE,Sturnus,vulgaris,Common Starling,,Participate,2014-11-06,-37.7886,144.9087,"-37.7886, 144.9087"
Bird,ANIMALIA,CHORDATA,AVES,COLUMBIFORMES,COLUMBIDAE,Ocyphaps,lophotes,Crested Pigeon,,Participate,2014-11-08,-37.7937,144.962,"-37.7937, 144.962"
Bird,ANIMALIA,CHORDATA,AVES,CICONIIFORMES,ARDEIDAE,Ardea,modesta,Eastern Great Egret,,Participate,2014-11-14,-37.7823,144.9429,"-37.7823, 144.9429"
Bird,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Aythya,australis,"Hardhead, White-eyed Duck",,Participate,2014-11-02,-37.7805,144.9398,"-37.7805, 144.9398"
Bird,ANIMALIA,CHORDATA,AVES,PELECANIFORMES,PHALACROCORACIDAE,Phalacrocorax,sulcirostris,Little Black Cormorant,,Participate,2014-11-05,-37.8123,144.9358,"-37.8123, 144.9358"
Bird,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,MELIPHAGIDAE,Anthochaera,chrysoptera,Little Wattlebird,,Twitter,2014-11-01,-37.813,144.9805,"-37.813, 144.9805"
Bird,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,MONARCHIDAE,Grallina,cyanoleuca,Magpie-lark,,Hand written expert,2014-11-14,-37.813,144.9805,"-37.813, 144.9805"
Bird,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,MONARCHIDAE,Grallina,cyanoleuca,Magpie-lark,,Hand written via expert,2014-11-15,-37.7833,144.9441,"-37.7833, 144.9441"
Bird,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Porphyrio,porphyrio,Purple Swamphen,,Hand written citizen expert,2014-11-15,-37.8311,144.9105,"-37.8311, 144.9105"
Bird,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,MELIPHAGIDAE,Anthochaera,carunculata,Red Wattlebird,,Hand written via expert,2014-11-14,-37.7911,144.924,"-37.7911, 144.924"
Bird,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,MELIPHAGIDAE,Anthochaera,carunculata,Red Wattlebird,,Participate,2014-11-08,-37.8498,144.9808,"-37.8498, 144.9808"
Bird,ANIMALIA,CHORDATA,AVES,CORACIIFORMES,ALCEDINIDAE,Todiramphus,sanctus,Sacred Kingfisher,,Twitter,2014-10-30,-37.8167,144.9784,"-37.8167, 144.9784"
Cnidaria,ANIMALIA,CNIDARIA,SCYPHOZOA,SEMAEOSTOMEAE,ULMARIDAE,Aurelia,aurita,Moon Jellyfish,,Participate,2014-11-10,-37.8387,144.9066,"-37.8387, 144.9066"
Insect,ANIMALIA,ARTHROPODA,INSECTA,DIPTERA,CALLIPHORIDAE,Calliphora,augur,"Lesser Brown Blowfly, Blue-bodied Blowfly",,Participate,,-37.7918,144.9623,"-37.7918, 144.9623"
Insect,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,PIERIDAE,Pieris,rapae,Cabbage White Butterfly,,Hand written via expert,,-37.7911,144.924,"-37.7911, 144.924"
Insect,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,PIERIDAE,Pieris,rapae,Cabbage White Butterfly,,Hand written expert,,-37.7919,144.9572,"-37.7919, 144.9572"
Plant,PLANTAE,CHAROPHYTA,EQUISETOPSIDA,SOLANALES,SOLANACEAE,Solanum,nigrum,Black Nightshade,,Hand written via expert,2014-11-16,-37.813,144.9805,"-37.813, 144.9805"
Plant,PLANTAE,CHAROPHYTA,EQUISETOPSIDA,APIALES,ARALIACEAE,Fatsia,japonica,Japanese Aralia,,Hand written via expert,2014-11-14,-37.813,144.9805,"-37.813, 144.9805"
Plant,PLANTAE,CHAROPHYTA,EQUISETOPSIDA,ASPARAGALES,ASPHODELACEAE,Aloe,arborescens,Kranz Aloe,,Hand written via expert,2014-11-14,-37.813,144.9805,"-37.813, 144.9805"
Plant,PLANTAE,CHAROPHYTA,EQUISETOPSIDA,ROSALES,MORACEAE,Ficus,macrophylla,Moreton Bay Fig,,Hand written via expert,2014-11-16,-37.813,144.9805,"-37.813, 144.9805"
Plant,PLANTAE,CHAROPHYTA,EQUISETOPSIDA,ASPARAGALES,ASPARAGACEAE,Cordyline,australis,New Zealand Cabbage Tree,,Hand written via expert,2014-11-16,-37.813,144.9805,"-37.813, 144.9805"
Plant,PLANTAE,CHAROPHYTA,EQUISETOPSIDA,ASPARAGALES,ASPARAGACEAE,Nolina,recurvata,Ponytail Palm,,Hand written via expert,2014-11-14,-37.813,144.9805,"-37.813, 144.9805"
Plant,PLANTAE,CHAROPHYTA,EQUISETOPSIDA,MYRTALES,MYRTACEAE,Lophostemon,confertus,Queensland Brush Box,,Hand written via expert,2014-11-16,-37.813,144.9805,"-37.813, 144.9805"
Plant,PLANTAE,CHAROPHYTA,EQUISETOPSIDA,ARECALES,ARECACEAE,Rhapis,humilis,Reed Rhapis,,Hand written via expert,2014-11-14,-37.813,144.9805,"-37.813, 144.9805"
Plant,PLANTAE,CHAROPHYTA,EQUISETOPSIDA,MYRTALES,MYRTACEAE,Callistemon,sieberi,River Bottlebrush,,Hand written via expert,2014-11-15,-37.7919,144.9572,"-37.7919, 144.9572"
Plant,PLANTAE,CHAROPHYTA,EQUISETOPSIDA,LAMIALES,LAMIACEAE,Plectranthus,argentatus,Silver Spurflower,,Hand written via expert,2014-11-14,-37.7911,144.924,"-37.7911, 144.924"
Plant,PLANTAE,CHAROPHYTA,EQUISETOPSIDA,ASPARAGALES,ORCHIDACEAE,Thelymitra,pauciflora,Slender Sun Orchid,,Participate,2014-11-07,-38.1157,145.1698,"-38.1157, 145.1698"
Plant,PLANTAE,CHAROPHYTA,EQUISETOPSIDA,ASPARAGALES,ASPARAGACEAE,Agave,attenuata,"Soft Leaved Agave, Lion's Tail Agave",,Hand written via expert,2014-11-14,-37.813,144.9805,"-37.813, 144.9805"
Plant,PLANTAE,CHAROPHYTA,EQUISETOPSIDA,CYATHEALES,DICKSONIACEAE,Dicksonia,antarctica,Soft Tree Fern,,Hand written via expert,2014-11-16,-37.813,144.9805,"-37.813, 144.9805"
Plant,PLANTAE,CHAROPHYTA,EQUISETOPSIDA,BRASSICALES,BRASSICACEAE,Raphanus,raphanistrum,Wild Radish,,Hand written via expert,2014-11-15,-37.7919,144.9572,"-37.7919, 144.9572"
Bird,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,TURDIDAE,Turdus,merula,Common Blackbird,,Hand written citizen expert,2014-11-08,-37.8311,144.9105,"-37.8311, 144.9105"
Bird,ANIMALIA,CHORDATA,AVES,COLUMBIFORMES,COLUMBIDAE,Ocyphaps,lophotes,Crested Pigeon,,Participate,2014-11-15,-37.7873,144.9163,"-37.7873, 144.9163"
Bird,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Gallinula,tenebrosa,Dusky Moorhen,,Participate,2014-11-10,-37.8303,144.9063,"-37.8303, 144.9063"
Bird,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Gallinula,tenebrosa,Dusky Moorhen,,Hand written via expert,2014-11-15,-37.7833,144.9441,"-37.7833, 144.9441"
